Time,Qom,ComX,ComY,AomX1,AomY1,AomX2,AomY2
363000,724615,0.5104049561951288,0.498201281600114,0.6653333333333333,0.3416666666666667,0.698,0.475
363040,434182,0.47761756129917854,0.4767120316672118,0.5966666666666667,0.6133333333333333,0.62,0.655
363080,653449,0.4951814928683545,0.4895358449294946,0.10533333333333333,0.585,0.12133333333333333,0.6416666666666667
363120,507874,0.4889503485772719,0.47795352456186646,0.652,0.5433333333333333,0.6673333333333333,0.61
363160,655817,0.5012257037151118,0.4914951782788999,0.676,0.475,0.6973333333333334,0.5633333333333334
363200,1044206,0.5203770673602719,0.4916902172559821,0.6713333333333333,0.43833333333333335,0.7006666666666667,0.56
363240,602536,0.47761433784316076,0.47286848144066645,0.11733333333333333,0.6866666666666666,0.14866666666666667,0.7233333333333334
363280,725238,0.5120214513488447,0.5017145383078842,0.6613333333333333,0.365,0.7033333333333334,0.5933333333333334
363320,460858,0.49729209286446896,0.4896994157274763,0.6806666666666666,0.49833333333333335,0.7026666666666667,0.5366666666666666
363360,781236,0.5064905141766807,0.5020852960351718,0.6566666666666666,0.4766666666666667,0.6993333333333334,0.6033333333333334
363400,548573,0.483967904605829,0.4895778197857593,0.114,0.31666666666666665,0.13,0.3566666666666667
363440,652898,0.5039868800333284,0.49907057202401206,0.6553333333333333,0.5516666666666666,0.688,0.645
363480,426911,0.4902980355780634,0.4818513382570763,0.554,0.5266666666666666,0.568,0.59
363520,793703,0.5088144515853746,0.4874314657581824,0.6386666666666667,0.3566666666666667,0.664,0.48333333333333334
363560,519954,0.4949952239364765,0.4834076347779483,0.576,0.39666666666666667,0.5973333333333334,0.43666666666666665
363600,629852,0.5134148074997514,0.48928515217331486,0.84,0.38,0.8613333333333333,0.46166666666666667
363640,506558,0.5052663650230246,0.4885498896473848,0.8453333333333334,0.3883333333333333,0.888,0.5933333333333334
363680,739749,0.5043484497219102,0.5015941983925181,0.6533333333333333,0.37166666666666665,0.67,0.6183333333333333
363720,1172813,0.5309098233620079,0.5009412327455441,0.7926666666666666,0.36833333333333335,0.89,0.595
363760,530630,0.48316873025146206,0.471623479009228,0.686,0.465,0.704,0.5333333333333333
363800,636320,0.4925792253373565,0.4862712235981897,0.8513333333333334,0.49833333333333335,0.876,0.5816666666666667
363840,461524,0.47242538777326126,0.48007056693331945,0.6,0.43166666666666664,0.614,0.47333333333333333
363880,885613,0.5178971559812244,0.4928796494631402,0.676,0.49333333333333335,0.7053333333333334,0.5916666666666667
363920,405381,0.47874459335785347,0.4674506123046386,0.12666666666666668,0.6133333333333333,0.14,0.6433333333333333
363960,615371,0.5064585840628392,0.4874696429741841,0.67,0.47,0.7053333333333334,0.6166666666666667
364000,460187,0.4780323998722259,0.4835916449906959,0.5973333333333334,0.3883333333333333,0.6113333333333333,0.4266666666666667
364040,884136,0.5182898724479793,0.497552850089428,0.6453333333333333,0.335,0.728,0.6566666666666666
364080,442290,0.4772248373992931,0.4703934296502295,0.08666666666666667,0.6983333333333334,0.11133333333333334,0.7283333333333334
364120,578614,0.5012548619056342,0.48272582412454584,0.5233333333333333,0.6883333333333334,0.5413333333333333,0.7216666666666667
364160,489032,0.4764194735722816,0.48409351535277856,0.5586666666666666,0.535,0.5753333333333334,0.595
364200,746730,0.5052805083497383,0.4857050584995024,0.646,0.37666666666666665,0.6986666666666667,0.4816666666666667
364240,936904,0.5302024092116159,0.5032944125901195,0.6653333333333333,0.46166666666666667,0.6973333333333334,0.5566666666666666
364280,503778,0.4933910386453291,0.48674028705765904,0.5113333333333333,0.5283333333333333,0.532,0.615
364320,682573,0.49454963205400726,0.487003023852394,0.6866666666666666,0.44666666666666666,0.696,0.51
364360,530278,0.4872793603858102,0.47894887210104886,0.6773333333333333,0.43833333333333335,0.6946666666666667,0.5383333333333333
364400,729967,0.511529941307849,0.4977200247865088,0.6626666666666666,0.3883333333333333,0.7,0.4816666666666667
364440,445014,0.48672675766005863,0.4948909509962981,0.6826666666666666,0.56,0.694,0.5883333333333334
364480,679084,0.49325906662504204,0.488055787894674,0.6673333333333333,0.39,0.696,0.47333333333333333
364520,518818,0.4999071016554295,0.48399486910631473,0.07333333333333333,0.6916666666666667,0.10666666666666667,0.7433333333333333
364560,754130,0.5120950852859146,0.4883249528153854,0.6806666666666666,0.485,0.7053333333333334,0.6116666666666667
364600,396372,0.47803637660245085,0.4768596840005516,0.106,0.6383333333333333,0.128,0.6666666666666666
364640,611318,0.476422064021235,0.4910971322072417,0.11733333333333333,0.6866666666666666,0.13933333333333334,0.7433333333333333
364680,494762,0.4749663555406435,0.49009174444817233,0.14066666666666666,0.3383333333333333,0.15133333333333332,0.37166666666666665
364720,670519,0.5152583516151916,0.4934270840945596,0.67,0.3883333333333333,0.7013333333333334,0.4633333333333333
364760,1028723,0.5283903188710665,0.49287187772283386,0.6446666666666667,0.3933333333333333,0.7293333333333333,0.6566666666666666
364800,505852,0.4657576959268719,0.4828504944792811,0.6446666666666667,0.795,0.6646666666666666,0.8283333333333334
364840,808320,0.5069840665413039,0.48764247863882293,0.6746666666666666,0.475,0.7033333333333334,0.595
364880,470554,0.4938876388257248,0.4784505214421016,0.666,0.5016666666666667,0.6986666666666667,0.5566666666666666
364920,764730,0.5235636010966831,0.4854729207258334,0.8426666666666667,0.38166666666666665,0.8893333333333333,0.595
364960,458568,0.48599260015235823,0.47111006437431285,0.85,0.49666666666666665,0.884,0.59
365000,722212,0.507645094976729,0.49504143750957696,0.6593333333333333,0.3466666666666667,0.6966666666666667,0.4533333333333333
365040,446867,0.4903794253472881,0.4898686148973483,0.8486666666666667,0.49333333333333335,0.8846666666666667,0.59
365080,746347,0.517593337504762,0.49532597661230854,0.8473333333333334,0.49333333333333335,0.886,0.5883333333333334
365120,442809,0.48493518876084263,0.4836408662275007,0.6873333333333334,0.475,0.704,0.5883333333333334
365160,682944,0.501967315036079,0.4735955729898791,0.68,0.545,0.704,0.59
365200,520757,0.49708774598005084,0.4733651587976735,0.8213333333333334,0.5466666666666666,0.832,0.5866666666666667
365240,640521,0.5027004891330651,0.4776494421468357,0.678,0.53,0.7046666666666667,0.5933333333333334
365280,1030210,0.5227867515684504,0.5000146297033292,0.09466666666666666,0.6783333333333333,0.138,0.7383333333333333
365320,602440,0.4857597448155279,0.4849779507779474,0.5753333333333334,0.585,0.5886666666666667,0.6183333333333333
365360,711150,0.5022846647448967,0.4884200895263539,0.6706666666666666,0.4666666666666667,0.704,0.59
365400,427949,0.47944787969282937,0.495848216337305,0.09333333333333334,0.7166666666666667,0.11133333333333334,0.7583333333333333
365440,847103,0.4993164310203915,0.4852375075207302,0.5946666666666667,0.34,0.6526666666666666,0.415
365480,551689,0.49402032666955475,0.482946913931581,0.6746666666666666,0.465,0.6973333333333334,0.5533333333333333
365520,667930,0.5090420273581563,0.49363868219723617,0.6686666666666666,0.46,0.7026666666666667,0.5666666666666667
365560,442557,0.49920078543554824,0.48721337213812765,0.69,0.525,0.7046666666666667,0.575
365600,785243,0.5020871594313268,0.4892115243306848,0.6533333333333333,0.4483333333333333,0.6693333333333333,0.5966666666666667
